run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.gross_sales_median,metrics.net_quantity_median,metrics.total_net_sales_median,metrics.discounts_mean,metrics.discounts_median,metrics.returns_mean,metrics.returns_median,metrics.returns_std_dev,metrics.total_net_sales_std_dev,metrics.gross_sales_mean,metrics.total_net_sales_mean,metrics.gross_sales_std_dev,metrics.net_quantity_std_dev,metrics.discounts_std_dev,metrics.net_quantity_mean,tags.mlflow.source.type,tags.mlflow.source.name,tags.changed_at,tags.mlflow.runName,tags.mlflow.user,tags.operation
9e7797845b0648c2b86b08afe9421c0d,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/9e7797845b0648c2b86b08afe9421c0d/artifacts,2023-07-30 12:09:41.175000+00:00,2023-07-30 12:09:44.740000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 10:27:42.389928,2023-07-21 10:27:42,user,INSERT
f31fa0614a084e3194d3c2da0724a99d,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/f31fa0614a084e3194d3c2da0724a99d/artifacts,2023-07-30 12:09:37.251000+00:00,2023-07-30 12:09:41.159000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 10:22:13.638545,2023-07-21 10:22:13,user,INSERT
d38dc5361dc9486b82d3e58eb29edf51,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/d38dc5361dc9486b82d3e58eb29edf51/artifacts,2023-07-30 12:09:33.300000+00:00,2023-07-30 12:09:37.225000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 18:08:22.303536,2023-07-20 18:08:22,user,INSERT
c5739d767a7b420d83c95a4f89f314a1,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/c5739d767a7b420d83c95a4f89f314a1/artifacts,2023-07-30 12:09:29.405000+00:00,2023-07-30 12:09:33.285000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 17:34:12.109977,2023-07-20 17:34:12,user,INSERT
31b5be6b4a234227bc6e3721cf5c9814,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/31b5be6b4a234227bc6e3721cf5c9814/artifacts,2023-07-30 12:09:25.606000+00:00,2023-07-30 12:09:29.389000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 15:39:17.829699,2023-07-20 15:39:17,user,INSERT
2ed25a57a36741bbb3b3119435c21b3c,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/2ed25a57a36741bbb3b3119435c21b3c/artifacts,2023-07-30 12:09:22.012000+00:00,2023-07-30 12:09:25.558000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 14:27:30.400042,2023-07-20 14:27:30,user,INSERT
c77a0caee18642118d47f8b0506787a1,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/c77a0caee18642118d47f8b0506787a1/artifacts,2023-07-30 12:09:17.973000+00:00,2023-07-30 12:09:21.981000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 14:03:18.556567,2023-07-20 14:03:18,user,INSERT
6a48acbd35f44c568bd8648b4297efb2,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/6a48acbd35f44c568bd8648b4297efb2/artifacts,2023-07-30 12:09:13.671000+00:00,2023-07-30 12:09:17.947000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 12:29:44.024608,2023-07-20 12:29:44,user,DELETE
574e1d12cb3249019b6d9f8cb8333f54,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/574e1d12cb3249019b6d9f8cb8333f54/artifacts,2023-07-30 12:09:10.180000+00:00,2023-07-30 12:09:13.639000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 10:51:34.570222,2023-07-20 10:51:34,user,DELETE
b414be0218e1463aadff81075fd78f2a,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/b414be0218e1463aadff81075fd78f2a/artifacts,2023-07-30 12:09:06.667000+00:00,2023-07-30 12:09:10.150000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 10:39:42.724237,2023-07-20 10:39:42,user,DELETE
0a5b9e4ef8fa4185bb774d69a3ef16d4,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/0a5b9e4ef8fa4185bb774d69a3ef16d4/artifacts,2023-07-30 12:09:02.682000+00:00,2023-07-30 12:09:06.636000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 10:18:48.190631,2023-07-20 10:18:48,user,DELETE
0bee31c70456446398116d2253db9e18,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/0bee31c70456446398116d2253db9e18/artifacts,2023-07-30 12:08:59.093000+00:00,2023-07-30 12:09:02.651000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 10:18:48.190631,2023-07-20 10:18:48,user,DELETE
1c7b02b107f84bc58eb63e739f3fcdd0,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/1c7b02b107f84bc58eb63e739f3fcdd0/artifacts,2023-07-30 12:08:55.726000+00:00,2023-07-30 12:08:59.093000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-20 10:18:48.190631,2023-07-20 10:18:48,user,DELETE
c41114369284483a93251068968f8b35,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/c41114369284483a93251068968f8b35/artifacts,2023-07-21 07:41:04.340000+00:00,2023-07-21 07:41:07.536000+00:00,3744.0,1252.0,3427.2,77414.24,1000.0,84145.53333333334,1000.0,354211.86900636315,2867670.062675432,101110.2,749323.84,286472.70422732126,308201.73131257173,291606.14451506035,96618.93333333333,LOCAL,changes_log.py,2023-07-21 11:40:45.024228,2023-07-21 11:40:45,user,INSERT
68afde5ba953447198cd27d163202c32,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/68afde5ba953447198cd27d163202c32/artifacts,2023-07-21 07:18:31.538000+00:00,2023-07-21 07:18:34.117000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 11:09:28.403702,2023-07-21 11:09:28,user,INSERT
fc5a509967e24fc19f4b72ef3d4149ab,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/fc5a509967e24fc19f4b72ef3d4149ab/artifacts,2023-07-21 07:18:28.893000+00:00,2023-07-21 07:18:31.538000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 11:06:37.356444,2023-07-21 11:06:37,user,INSERT
